1.1-20	3.11	-5.19	8.654 7.56 1.094 0.560230626 6.91042047532 13.4944425548
1.1-21	2.49	-6	8.884 7.569 1.315 0.674781264 5.75589353612 11.2169682293
1.1-22	3.39	-5.16	8.557 7.504 1.053 0.548440894 7.12630579297 13.682422449
1.1-23	1.2	-7.02	8.642 7.209 1.433 0.787545293 5.03070481507 9.15375923655
1.1-24	3.99	-5.54	8.829 7.764 1.065 0.547279875 7.29014084507 14.1865256785
1.1-25	2.22	-5.5	8.779 7.57 1.209 0.608622537 6.26137303557 12.4379225871
1.1-26	2.56	-5.87	8.454 7.438 1.016 0.538060629 7.32086614173 13.8237209696
1.1-27	2.58	-5.17	8.704 7.576 1.128 0.575987057 6.71631205674 13.1530733337
1.1-28	4.16	-5.38	8.854 7.806 1.048 0.545714028 7.44847328244 14.3041952369
1.1-29	3.44	-5.47	8.897 7.846 1.051 0.534913527 7.46527117031 14.6677913419
1.1-30	4.5	-6.49	8.883 7.818 1.065 0.54967743 7.34084507042 14.2228870485
1.1-31	2.81	-5.7	8.713 7.587 1.126 0.580924057 6.73801065719 13.0602269067
1.1-32	1.52	-6.6	8.875 7.541 1.334 0.730200727 5.65292353823 10.3272973049
1.1-33	4.3	-6.08	8.833 7.816 1.017 0.526094518 7.68534906588 14.8566459687
1.1-34	4.9	-6.58	8.929 7.829 1.1 0.570047489 7.11727272727 13.733943489
1.1-35	3.13	-5.23	8.848 7.663 1.185 0.596804622 6.46666666667 12.8400480116
1.1-36	3.47	-5.51	8.917 7.848 1.069 0.56632024 7.34144059869 13.8578836596
1.1-37	5.07	-7.08	9.2 8.194 1.006 0.521956773 8.14512922465 15.6986180156
1.1-38	4.34	-6.32	9.275 8.171 1.104 0.559383313 7.40126811594 14.6071572214
1.1-39	3.72	-5.47	9.262 8.081 1.181 0.606698045 6.84250635055 13.3196407448
1.1-40	2.43	-5.85	9.095 7.817 1.278 0.700932344 6.11658841941 11.1522889005
1.2-01	0.64	-6.56	7.877 6.548 1.329 0.687901972 4.92701279157 9.51879812317
1.2-02	2.56	-5.05	8.14 6.946 1.194 0.62379822 5.81742043551 11.1350109335
1.2-03	2.36	-5.12	8.088 6.912 1.176 0.613501143 5.87755102041 11.2664826771
1.2-04	2.96	-4.93	8.37 7.185 1.185 0.613662252 6.06329113924 11.7083949299
1.2-05	1.19	-6.69	8.132 6.85 1.282 0.653182127 5.34321372855 10.4871209986
1.2-06	1.87	-5.16	8.306 7.072 1.234 0.633538647 5.73095623987 11.1626970722
1.2-07	1.53	-6.94	7.996 6.831 1.165 0.618099468 5.8635193133 11.051619284
1.2-08	3.79	-5.23	8.491 7.354 1.137 0.595474307 6.46789797713 12.3498191501
1.2-09	3.13	-4.96	8.456 7.289 1.167 0.610785092 6.24592973436 11.9338210698
1.2-10	2.4	-5.22	8.378 7.184 1.194 0.612419892 6.01675041876 11.730513809
1.2-11	1.78	-6.86	8.48 7.185 1.295 0.671010595 5.54826254826 10.7077295851
1.2-12	0.49	-7.96	8.625 7.093 1.532 0.840477831 4.62989556136 8.43924698354
1.2-13	3.59	-5.2	8.401 7.334 1.067 0.55485282 6.87347703843 13.2179196638
1.2-14	2.2	-5.12	8.602 7.433 1.169 0.598509825 6.35842600513 12.4191779141
1.2-15	4.19	-5.7	8.503 7.399 1.104 0.575212477 6.70199275362 12.8630728572
1.2-16	2.42	-5.34	8.737 7.49 1.247 0.629474408 6.00641539695 11.8988157498
1.2-17	4.11	-5.56	8.854 7.795 1.059 0.551729538 7.36071765817 14.1282992175
1.2-18	2.76	-5.62	8.286 7.193 1.093 0.580952698 6.58096980787 12.3813866856
1.2-19	4.36	-5.57	8.915 7.841 1.074 0.56091035 7.30074487896 13.9790610032
1.2-20	3.64	-5.59	8.803 7.692 1.111 0.570187048 6.92349234923 13.4903099377
1.2-21	3.01	-5.59	8.713 7.462 1.251 0.647400714 5.96482813749 11.5260917059
1.2-22	3.91	-5.63	8.797 7.72 1.077 0.559647913 7.16805942433 13.7943871864
1.2-23	1.72	-6.54	8.998 7.592 1.406 0.769807609 5.39971550498 9.86220441477
1.2-24	4.52	-6.23	9.071 7.962 1.109 0.571927976 7.17944093778 13.9213333394
1.2-25	2.75	-5.19	8.905 7.719 1.186 0.596381643 6.5084317032 12.9430543187
1.2-26	3.08	-5.58	8.619 7.594 1.025 0.543644342 7.4087804878 13.9686913177
1.2-27	3.11	-5.34	8.88 7.736 1.144 0.585189251 6.76223776224 13.2196549865
1.2-28	4.69	-6.04	9.092 8.078 1.014 0.526603276 7.96646942801 15.3398210155
1.2-29	3.96	-6.05	9.125 8.053 1.072 0.547492145 7.51212686567 14.708886828
1.2-30	5.02	-7.2	9.211 8.155 1.056 0.546328552 7.72253787879 14.9269152603
1.2-31	3.34	-5.43	9.376 8.119 1.257 0.644901434 6.45902943516 12.5895207732
1.2-32	2.04	-6.24	9.128 7.78 1.348 0.738686568 5.77151335312 10.5322072135
1.2-33	4.82	-6.74	9.023 8.031 0.992 0.512600031 8.09576612903 15.6671859429
1.2-34	5.42	-7.24	9.176 8.111 1.065 0.549081436 7.61596244131 14.771943592
1.2-35	3.66	-5.37	9.065 7.892 1.173 0.592019891 6.72804774084 13.3306331763
1.2-36	3.99	-5.43	9.043 7.995 1.048 0.553504941 7.62881679389 14.4443155025
1.2-37	5.6	-7.44	9.523 8.506 1.017 0.525558651 8.36381514258 16.1846826873
1.2-38	4.87	-7.29	9.271 8.24 1.031 0.522399007 7.99224054316 15.7733837346
1.2-39	4.25	-5.53	9.443 8.314 1.129 0.579811997 7.36403897254 14.3391306889
1.2-40	2.95	-5.76	9.342 8.07 1.272 0.695267871 6.34433962264 11.6070371386
1.3-01	0.96	-6.08	7.952 6.596 1.356 0.700401366 4.86430678466 9.41745736116
1.3-02	2.88	-4.9	8.374 7.114 1.26 0.657238885 5.64603174603 10.8240704596
1.3-03	2.67	-4.98	8.268 7.017 1.251 0.655853095 5.60911270983 10.6990422909
1.3-04	3.28	-4.96	8.435 7.212 1.223 0.637947878 5.89697465249 11.3049988074
1.3-05	1.51	-6.26	8.499 7.152 1.347 0.683950903 5.30957683742 10.4568909386
1.3-06	2.19	-5.01	8.312 7.058 1.254 0.647978356 5.6283891547 10.8923391262
1.3-07	1.85	-6.54	8.215 6.979 1.236 0.656676206 5.64644012945 10.6277643932
1.3-08	4.11	-5.54	8.715 7.525 1.19 0.623864224 6.32352941176 12.0619194217
1.3-09	3.45	-4.96	8.849 7.632 1.217 0.63455464 6.27115858669 12.0273330599
1.3-10	2.72	-5.05	8.554 7.334 1.22 0.628049805 6.01147540984 11.6774178443
1.3-11	2.1	-6.43	8.659 7.318 1.341 0.693401902 5.45712155108 10.5537639555
1.3-12	0.81	-7.62	8.568 7.13 1.438 0.791369006 4.95827538248 9.00970336966
1.3-13	3.91	-5.44	8.593 7.448 1.145 0.601539973 6.50480349345 12.3815545671
1.3-14	2.52	-5.06	8.747 7.631 1.116 0.572398332 6.83781362007 13.3316251523
1.3-15	4.51	-6.2	9.037 7.884 1.153 0.595739225 6.83781439722 13.2339783401
1.3-16	2.74	-5.07	8.846 7.606 1.24 0.627507453 6.13387096774 12.1209715735
1.3-17	4.43	-5.97	9.025 7.914 1.111 0.578965521 7.12331233123 13.6692077731
1.3-18	3.08	-5.29	8.423 7.264 1.159 0.617535545 6.26747195858 11.762885649
1.3-19	4.68	-6.02	9.146 7.999 1.147 0.598867707 6.97384481255 13.3568731566
1.3-20	3.95	-5.89	9.024 7.865 1.159 0.596460672 6.78602243313 13.1861166531
1.3-21	3.33	-5.3	8.928 7.649 1.279 0.66221597 5.98045347928 11.5506124082
1.3-22	4.23	-6.06	9.056 7.967 1.089 0.565024945 7.31588613407 14.1002624229
1.3-23	2.04	-6.27	9.075 7.544 1.531 0.842904958 4.92749836708 8.95000074255
1.3-24	4.84	-6.82	9.254 8.124 1.13 0.583718375 7.18938053097 13.9176704862
1.3-25	3.07	-5.07	9.173 7.951 1.222 0.616737209 6.50654664484 12.8920387549
1.3-26	3.4	-5.35	9.009 7.893 1.116 0.589872313 7.07258064516 13.3808619697
1.3-27	3.42	-5.65	9.068 7.958 1.11 0.565442844 7.16936936937 14.0739246848
1.3-28	5.01	-6.57	9.253 8.21 1.043 0.545620386 7.87152444871 15.0470917338
1.3-29	4.28	-6.33	9.258 8.174 1.084 0.553856694 7.5405904059 14.7583302478
1.3-30	5.34	-8.59	9.297 8.229 1.068 0.555731811 7.70505617978 14.8075021748
1.3-31	3.66	-5.22	9.161 7.944 1.217 0.627532661 6.52752670501 12.6591020575
1.3-32	2.36	-6.03	9.442 8.187 1.255 0.691865143 6.5235059761 11.8332309162
1.3-33	5.14	-7.78	9.255 8.256 0.999 0.514894994 8.26426426426 16.0343372847
1.3-34	5.74	-8.71	9.49 8.452 1.038 0.534640935 8.14258188825 15.8087408702
1.3-35	3.97	-5.53	9.264 8.066 1.198 0.604333787 6.73288814691 13.3469287561
1.3-36	4.31	-5.53	9.263 8.219 1.044 0.553572433 7.87260536398 14.8471988669
1.3-37	5.92	-8.95	9.724 8.695 1.029 0.53412764 8.44995140914 16.2788804564
1.3-38	5.19	-7.97	9.444 8.439 1.005 0.507849691 8.39701492537 16.6171214624
1.3-39	4.57	-5.65	9.735 8.5 1.235 0.636781227 6.88259109312 13.3483834629
1.3-40	3.27	-5.69	9.623 8.309 1.314 0.719540027 6.32343987823 11.5476550132
1.4-01	0.43	-6.32	8.725 7.352 1.373 0.704463004 5.35469774217 10.4363181008
1.4-02	2.34	-4.88	8.987 7.728 1.259 0.652532349 6.13820492454 11.8430910159
1.4-03	2.14	-4.97	8.859 7.668 1.191 0.617322656 6.43828715365 12.4213811456
1.4-04	2.75	-4.81	8.933 7.71 1.223 0.633604608 6.30417007359 12.1684721081
1.4-05	0.98	-6.47	9.063 7.728 1.335 0.672199926 5.78876404494 11.4965796649
1.4-06	1.66	-5.05	9.218 7.918 1.3 0.662969939 6.09076923077 11.9432262825
1.4-07	1.31	-6.74	8.824 7.583 1.241 0.654116836 6.11039484287 11.5927302015
1.4-08	3.57	-5.24	9.276 8.137 1.139 0.589126888 7.14398595259 13.8119650719
1.4-09	2.92	-4.88	9.319 8.103 1.216 0.632498372 6.66365131579 12.8111001683
1.4-10	2.19	-5.06	9.043 7.868 1.175 0.599680757 6.69617021277 13.1203142808
1.4-11	1.57	-6.67	9.545 8.113 1.432 0.734212016 5.6655027933 11.0499417378
1.4-12	0.27	-7.72	9.334 7.786 1.548 0.84259085 5.02971576227 9.2405465832
1.4-13	3.37	-5.17	9.37 8.202 1.168 0.603194053 7.02226027397 13.5976141661
1.4-14	1.98	-5.08	9.404 8.223 1.181 0.598883295 6.96274343776 13.7305549656
1.4-15	3.98	-5.76	9.707 8.516 1.191 0.61077568 7.1502938707 13.9429258218
1.4-16	2.21	-5.14	9.239 7.993 1.246 0.628763588 6.41492776886 12.7122501248
1.4-17	3.9	-5.47	9.521 8.479 1.042 0.533855998 8.13723608445 15.8825601506
1.4-18	2.54	-5.48	9.205 7.984 1.221 0.644923161 6.5389025389 12.3797693784
1.4-19	4.15	-5.6	9.65 8.536 1.114 0.575453269 7.66247755835 14.8335242145
1.4-20	3.42	-5.5	9.887 8.692 1.195 0.606617206 7.27364016736 14.3286407211
1.4-21	2.8	-5.43	9.698 8.352 1.346 0.69065498 6.20505200594 12.0928687143
1.4-22	3.7	-5.52	9.579 8.511 1.068 0.549658856 7.9691011236 15.4841496814
1.4-23	1.5	-6.47	9.654 8.193 1.461 0.795835406 5.60780287474 10.2948422981
1.4-24	4.3	-6.11	9.17 8.152 1.018 0.527847171 8.00785854617 15.4438641483
1.4-25	2.53	-5.11	9.867 8.599 1.268 0.63644675 6.78154574132 13.5109496592
1.4-26	2.87	-5.51	9.475 8.413 1.062 0.557410496 7.92184557439 15.0930060707
1.4-27	2.89	-5.26	9.525 8.466 1.059 0.53544506 7.99433427762 15.8111459652
1.4-28	4.47	-5.86	10.082 9.0 1.082 0.556691327 8.3179297597 16.1669484748
1.4-29	3.75	-5.75	9.817 8.752 1.065 0.540573157 8.21784037559 16.1902230747
1.4-30	4.81	-7.19	9.976 8.876 1.1 0.567237902 8.06909090909 15.6477554985
1.4-31	3.12	-5.33	9.77 8.541 1.229 0.631636868 6.94955248169 13.522009928
1.4-32	1.83	-6.23	9.834 8.483 1.351 0.735442091 6.27905255366 11.534558742
1.4-33	4.6	-6.55	9.954 8.864 1.09 0.560288106 8.13211009174 15.8204322117
1.4-34	5.21	-6.98	9.76 8.726 1.034 0.532070146 8.43907156673 16.4000932313
1.4-35	3.44	-5.28	9.859 8.647 1.212 0.607505513 7.13448844884 14.2336156874
1.4-36	3.78	-5.32	9.813 8.685 1.128 0.591445932 7.69946808511 14.6843515698
1.4-37	5.38	-7	10.299 9.208 1.091 0.565085958 8.43996333639 16.2948660635
1.4-38	4.65	-6.8	10.077 8.992 1.085 0.548007678 8.28755760369 16.408529225
1.4-39	4.03	-5.44	9.965 8.81 1.155 0.592446012 7.62770562771 14.870553302
1.4-40	2.74	-5.82	10.235 8.838 1.397 0.759082188 6.32641374374 11.6430080164
1.5-01	-0.41	-8.12	8.616 7.173 1.443 0.734448488 4.97089397089 9.76651203889
1.5-02	1.51	-6.42	8.978 7.59 1.388 0.715666245 5.46829971182 10.6055022897
1.5-03	1.31	-6.49	8.833 7.541 1.292 0.66522206 5.8366873065 11.3360642309
1.5-04	1.91	-5.92	8.816 7.533 1.283 0.660316501 5.87139516758 11.4081656124
1.5-05	0.14	-8.28	9.018 7.569 1.449 0.728745444 5.22360248447 10.3863428064
1.5-06	0.83	-6.64	8.946 7.623 1.323 0.6730825 5.7619047619 11.3255061601
1.5-07	0.48	-7.48	8.816 7.47 1.346 0.703194353 5.54977711738 10.6229522011
1.5-08	2.74	-5.27	9.262 8.025 1.237 0.634662416 6.48746968472 12.6445174595
