CycPeptMPDB_ID,Source,Missing_in_Water,Missing_in_Hexane
7122,2021_Kelly,True,True
7123,2021_Kelly,True,True
7124,2021_Kelly,True,True
7125,2021_Kelly,True,True
7126,2021_Kelly,True,True
7127,2021_Kelly,True,True
7128,2021_Kelly,True,True
7129,2021_Kelly,True,True
7130,2021_Kelly,True,True
7131,2021_Kelly,True,True
7132,2021_Kelly,True,True
7133,2021_Kelly,True,True
7134,2021_Kelly,True,True
7135,2021_Kelly,True,True
7136,2021_Kelly,True,True
7137,2021_Kelly,True,True
7138,2021_Kelly,True,True
7139,2021_Kelly,True,True
7140,2021_Kelly,True,True
7141,2021_Kelly,True,True
7142,2021_Kelly,True,True
7143,2021_Kelly,True,True
7144,2021_Kelly,True,True
7145,2021_Kelly,True,True
7146,2021_Kelly,True,True
7147,2021_Kelly,True,True
7148,2021_Kelly,True,True
7149,2021_Kelly,True,True
7150,2021_Kelly,True,True
7151,2021_Kelly,True,True
7152,2021_Kelly,True,True
7153,2021_Kelly,True,True
7154,2021_Kelly,True,True
7155,2021_Kelly,True,True
7156,2021_Kelly,True,True
7157,2021_Kelly,True,True
7158,2021_Kelly,True,True
7159,2021_Kelly,True,True
7160,2021_Kelly,True,True
7161,2021_Kelly,True,True
7162,2021_Kelly,True,True
7163,2021_Kelly,True,True
7164,2021_Kelly,True,True
7165,2021_Kelly,True,True
7166,2021_Kelly,True,True
7167,2021_Kelly,True,True
7168,2021_Kelly,True,True
7169,2021_Kelly,True,True
7170,2021_Kelly,True,True
7171,2021_Kelly,True,True
7172,2021_Kelly,True,True
7173,2021_Kelly,True,True
7174,2021_Kelly,True,True
7175,2021_Kelly,True,True
7176,2021_Kelly,True,True
7177,2021_Kelly,True,True
7178,2021_Kelly,True,True
7179,2021_Kelly,True,True
7180,2021_Kelly,True,True
7181,2021_Kelly,True,True
7182,2021_Kelly,True,True
7183,2021_Kelly,True,True
7184,2021_Kelly,True,True
7185,2021_Kelly,True,True
7186,2021_Kelly,True,True
7187,2021_Kelly,True,True
