hepta_1098_1                     -29.3430                2.8214              0.2821
hepta_1099_1                     -36.2628                3.4861              0.3486
hepta_1100_1                     -26.9208                1.8957              0.1896
hepta_1101_1                     -20.3818                3.2791              0.3279
hepta_110_1                     -38.9693                3.6356              0.3636
hepta_1102_1                     -28.5342                3.7003              0.3700
hepta_1103_1                     -24.5279                3.6268              0.3627
hepta_1104_1                     -27.8339                2.3399              0.2340
hepta_1105_1                     -30.5088                2.2357              0.2236
hepta_1106_1                     -33.0872                1.6472              0.1647
hepta_1107_1                     -28.4730                2.8036              0.2804
hepta_1108_1                     -36.9101                3.6796              0.3680
hepta_1109_1                     -34.2009                4.0437              0.4044
hepta_1110_1                     -25.5314                2.1529              0.2153
hepta_1111_1                     -33.6484                4.0483              0.4048
hepta_111_1                     -39.9853                3.0951              0.3095
hepta_1112_1                     -25.9612                3.1203              0.3120
hepta_1113_1                     -31.8089                4.8647              0.4865
hepta_1114_1                     -27.0400                4.4169              0.4417
hepta_1115_1                     -28.2021                2.7022              0.2702
hepta_1116_1                     -33.1183                3.6317              0.3632
hepta_1118_1                     -27.6101                2.9675              0.2968
hepta_1119_1                     -32.5458                2.6396              0.2640
hepta_11_1                     -24.4045                3.8548              0.3855
hepta_1120_1                     -30.0455                2.0155              0.2016
hepta_1121_1                     -33.9805                2.9905              0.2990
hepta_112_1                     -27.9902                2.8448              0.2845
hepta_1122_1                     -33.6737                3.9369              0.3937
hepta_1123_1                     -20.8601                2.1292              0.2129
hepta_1124_1                     -34.6813                5.8670              0.5867
hepta_1125_1                     -26.8104                2.1566              0.2157
hepta_1126_1                     -21.6227                2.7438              0.2744
hepta_1127_1                     -36.5813                5.5039              0.5504
hepta_1128_1                     -34.2147                2.3789              0.2379
hepta_1129_1                     -26.8895                1.9083              0.1908
hepta_1130_1                     -26.7438                1.5629              0.1563
hepta_1131_1                     -45.9137                5.2260              0.5226
hepta_113_1                     -32.6696                4.8820              0.4882
hepta_1132_1                     -41.4658                4.8276              0.4828
hepta_1133_1                     -24.1654                1.9958              0.1996
hepta_1134_1                     -21.1894                1.6579              0.1658
hepta_1135_1                     -31.2470                2.3021              0.2302
hepta_1136_1                     -28.7971                2.2796              0.2280
hepta_1137_1                     -24.8441                1.5884              0.1588
hepta_1138_1                     -29.6909                4.4240              0.4424
hepta_1139_1                     -27.9937                2.1256              0.2126
hepta_1140_1                     -29.5396                2.0194              0.2019
hepta_1141_1                     -28.9069                3.6019              0.3602
hepta_114_1                     -37.1499                3.7956              0.3796
hepta_1142_1                     -34.9235                6.5974              0.6597
hepta_1143_1                     -40.5659                5.2424              0.5242
hepta_1144_1                     -26.7048                3.2249              0.3225
hepta_1145_1                     -19.4205                2.0079              0.2008
hepta_1146_1                     -34.8720                5.9022              0.5902
hepta_1147_1                     -29.8901                3.4665              0.3466
hepta_1148_1                     -22.8748                2.3168              0.2317
hepta_1149_1                     -28.1378                4.2856              0.4286
hepta_1150_1                     -33.7385                3.5678              0.3568
hepta_1151_1                     -23.9886                2.9149              0.2915
hepta_115_1                     -21.6504                1.4000              0.1400
hepta_1152_1                     -21.0370                2.5716              0.2572
hepta_1153_1                     -26.6363                1.8380              0.1838
hepta_1154_1                     -17.5434                1.9044              0.1904
hepta_1155_1                     -21.2025                1.8312              0.1831
hepta_1156_1                     -31.7663                4.9778              0.4978
hepta_1157_1                     -37.7968                4.8989              0.4899
hepta_1158_1                     -30.5184                3.0167              0.3017
hepta_1159_1                     -15.4479                2.1075              0.2107
hepta_1160_1                     -25.5921                2.5806              0.2581
hepta_1161_1                     -31.5215                8.4449              0.8445
hepta_116_1                     -31.3718                2.1585              0.2159
hepta_1162_1                     -28.2462                3.6834              0.3683
hepta_1163_1                     -24.9082                2.1392              0.2139
hepta_1164_1                     -18.4840                1.9818              0.1982
hepta_1165_1                     -20.1770                2.0074              0.2007
hepta_1166_1                     -29.5661                2.6092              0.2609
hepta_1167_1                     -42.4941                2.6657              0.2666
hepta_1168_1                     -26.1168                2.4315              0.2432
hepta_1169_1                     -43.1083                3.8044              0.3804
hepta_1170_1                     -34.3141                3.1480              0.3148
hepta_1171_1                     -20.9592                2.6314              0.2631
hepta_117_1                     -32.7943                5.1449              0.5145
hepta_1172_1                     -46.5324                5.2014              0.5201
hepta_1173_1                     -32.1339                3.1582              0.3158
hepta_1174_1                     -19.0311                1.6204              0.1620
hepta_1175_1                     -36.5663                2.4186              0.2419
hepta_1176_1                     -35.6708                4.1570              0.4157
hepta_1177_1                     -29.6004                2.5499              0.2550
hepta_1178_1                     -27.0431                2.9889              0.2989
hepta_1179_1                     -37.2590                4.7061              0.4706
hepta_1180_1                     -21.3592                2.3178              0.2318
hepta_1181_1                     -22.7878                3.0196              0.3020
hepta_118_1                     -33.0924                2.8391              0.2839
hepta_1182_1                     -28.1800                3.4762              0.3476
hepta_1183_1                     -24.2991                4.4745              0.4474
hepta_1184_1                     -28.8556                8.6347              0.8635
hepta_1185_1                     -37.8638                3.5891              0.3589
hepta_1186_1                     -32.5770                2.3189              0.2319
hepta_1187_1                     -27.0629                3.0748              0.3075
hepta_1188_1                     -23.6166                2.1261              0.2126
hepta_1189_1                     -29.1759                2.0449              0.2045
hepta_1190_1                     -36.1562                5.3549              0.5355
hepta_1191_1                     -29.0488                3.0369              0.3037
hepta_119_1                     -48.3644                7.1204              0.7120
hepta_1192_1                     -26.7302                2.7147              0.2715
hepta_1193_1                     -26.0779                4.2362              0.4236
hepta_1194_1                     -27.3007                2.8628              0.2863
hepta_1195_1                     -22.4104                2.2559              0.2256
hepta_1196_1                     -29.0492                2.8904              0.2890
hepta_1197_1                     -32.6695                2.6507              0.2651
hepta_1198_1                     -19.5957                2.6473              0.2647
hepta_1199_1                     -31.9068                2.8060              0.2806
hepta_1_1                     -39.1887               11.9891              1.1989
hepta_1200_1                     -34.4875                3.6710              0.3671
hepta_1201_1                     -30.8055                3.2323              0.3232
hepta_120_1                     -30.7352                4.5879              0.4588
hepta_1202_1                     -44.5215                3.3792              0.3379
hepta_1203_1                     -33.0195                5.5898              0.5590
hepta_1204_1                     -26.5328                2.4457              0.2446
hepta_1205_1                     -42.2804                5.6191              0.5619
hepta_1206_1                     -29.7957                3.0974              0.3097
hepta_1207_1                     -25.6106                2.6360              0.2636
hepta_1208_1                     -33.2023                3.6067              0.3607
hepta_1209_1                     -32.3934                2.8519              0.2852
hepta_1210_1                     -26.5861                4.3620              0.4362
hepta_1211_1                     -34.2395                6.7025              0.6702
hepta_121_1                     -21.8356                3.1146              0.3115
hepta_1212_1                     -31.7771                4.2662              0.4266
hepta_1213_1                     -31.2520                2.9086              0.2909
hepta_1214_1                     -33.2716                4.0479              0.4048
hepta_1215_1                     -28.4874                4.2681              0.4268
hepta_1216_1                     -30.2086                3.2268              0.3227
hepta_1217_1                     -35.4701                2.1421              0.2142
hepta_1218_1                     -25.8920                3.9751              0.3975
hepta_1219_1                     -29.6872                3.4963              0.3496
hepta_12_1                     -32.8749                5.1318              0.5132
hepta_1220_1                     -25.6185                2.2381              0.2238
hepta_1221_1                     -37.2546                3.2495              0.3249
hepta_122_1                     -25.3725                2.6374              0.2637
hepta_1222_1                     -40.0302               12.3156              1.2316
